id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
990042404,96-G-1,f,Sam Bryen Field 2 Third Base Dugout,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Sam_Bryen_Field_2_Third_Base_Dugout.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.38946878,-80.006897
372308265,96-G-1,f,Brookline Lower Shelter,f,Shelter,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Lower_Shelter.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.39018584,-80.0071393
293014538,96-G-1,f,Brookline Lower Storage and Mens Restroom,f,Storage,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Lower_Storage_and_Mens_Restroom.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.39003549,-80.00743342
1429971545,96-G-1,f,Danny McGibbeny Memorial Field Third Base Dugout,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Danny_McGibbeny_Memorial_Field_Third_Base_Dugout.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39143164,-80.00755416
73475635,96-G-1,f,Brookline Pool Guard Room,f,Pool,CitiParks,1400,OAKRIDGE ST,15226,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Pool_Guard_Room.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39074934,-80.00754814
1752278519,96-G-1,f,Brookline Concession Stand,f,Concession,Department of Public Works,1400,OAKRIDGE ST,15226,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Concession_Stand.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39173835,-80.00779874
1764471208,34-N-86,f,Moore Park Gazebo,f,Shelter,Department of Public Works,NA,PIONEER AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Moore_Park_Gazebo.jpg,Brookline,4,19,42003191700,5,19,6,4-26,40.40526853,-80.01355445
2070467175,96-G-1,f,Brookline Recreation Center,t,Rec Center,CitiParks,1400,OAKRIDGE ST,15226,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Recreation_Center.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39125875,-80.0083887
955932476,96-G-1,f,Sam Bryen Field 2 First Base Dugout,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Sam_Bryen_Field_2_First_Base_Dugout.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.38931553,-80.0068978
2114849487,62-R-110,f,Firehouse 26,f,Firehouse,Department of Public Safety,630,BROOKLINE BLVD,15226,https://tools.wprdc.org/images/pittsburgh/facilities/Firehouse_26.png,Brookline,4,19,42003191800,5,19,6,4-26,40.39478816,-80.0218521
214500166,96-G-1,f,Brookline Lower Concession Stand and Womens Restroom,f,Concession,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Lower_Concession_Stand_and_Womens_Restroom.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.39011005,-80.00736151
1499156350,96-G-1,f,Sam Bryen Field 1 Third Base Dugout,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Sam_Bryen_Field_1_Third_Base_Dugout.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.38962499,-80.00713224
181434669,34-N-86,f,Moore Pool and Recreation Building,f,Pool/Rec,CitiParks,1801,PIONEER AVE,15226,https://tools.wprdc.org/images/pittsburgh/facilities/Moore_Pool_and_Recreation_Building.jpg,Brookline,4,19,42003191700,5,19,6,4-26,40.40550366,-80.01396329
